name		procurori				dosare_solutionate																																			
UNITATEA DE PARCHET (ACTIVITATE PROPRIE)	POSTURI DE PROCUROR PREVĂZUTE IN SCHEMA	POSTURI DE PROCUROR OCUPATE EFECTIV	TOTAL LUCRĂRI DE SOLUȚIONAT, DIN CARE:	TOTAL DOSARE DE SOLUȚIONAT	TOTAL LUCRĂRI SOLUȚIONATE, DIN CARE:	TOTAL DOSARE SOLUȚIONATE	PRIN RECHIZITORIU	PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	PRIN RENUNȚARE LA URMĂRIREA PENALĂ	PRIN CLASARE	DOSARE SOLUȚIONATE PÂNĂ ÎN 6 LUNI DE LA SESIZARE	DOSARE SOLUȚIONATE ÎNTRE 6 LUNI ȘI 1 AN DE LA SESIZARE	DOSARE SOLUȚIONATE PESTE 1 AN DE LA SESIZARE	DOSARE SOLUȚIONATE DUPĂ ÎMPLINIREA TERMENULUI DE PRESCRIPȚIE	DOSARE RĂMASE NESOLUȚIONATE (FĂRĂ A.N.)	DOSARE CU AUTOR NECUNOSCUT RĂMASE NESOLUȚIONATE	DOSARE RESTITUITE DE INSTANȚE SAU TRIMISE PROCURORULUI	DOSARE INFIRMATE SAU CU URMĂRIREA PENALĂ REDESCHISĂ	NR. INCULPAȚI SAU SUSPECȚI DIN CAUZELE SOLUȚIONATE	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ PRIN RECHIZITORIU	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ ARESTAȚI PREVENTIV	PREJUDICII ÎN LEI PRODUSE DE INCULPAȚII TRIMIȘI ÎN JUDECATĂ	PREJUDICII ÎN EURO PRODUSE DE INCULPAȚII TRIMIȘI ÎN JUDECATĂ	VALOAREA MĂSURILOR ASIGURĂTORII ÎN LEI	NR. INCULPAȚI SAU SUSPECȚI NETRIMIȘI ÎN JUDECATĂ	NR. INCULPAȚI SAU SUSPECȚI NETRIMIȘI ÎN JUDECATĂ ARESTAȚI PREVENTIV	NR. INCULPAȚI ACHITAȚI DEFINITIV INDIFERENT DE PERIOADA TRIMITERII ÎN JUDECATĂ	NR. INCULPAȚI ACHITAȚI DEFINITIV ARESTAȚI PREVENTIV	NR. INCULPAȚI SAU SUSPECȚI PERSOANE JURIDICE DIN CAUZELE SOLUȚIONATE	NR. INCULPAȚI PERSOANE JURIDICE TRIMIȘI ÎN JUDECATĂ PRIN RECHIZITORIU	NR. INCULPAȚI PERSOANE JURIDICE TRIMIȘI ÎN JUDECATĂ PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	NR. INCULPAȚI PERSOANE JURIDICE ACHITAȚI DEFINITIV INDIFERENT DE PERIOADA TRIMITERII ÎN JUDECATĂ	NR. INCULPAȚI SAU SUSPECȚI PERSOANE JURIDICE NETRIMIȘI ÎN JUDECATĂ	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI DE SOLUȚIONAT, DIN CARE:	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI SOLUȚIONATE, DIN CARE:	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI ADMISE	TOTAL CĂI DE ATAC DECLARATE DE PROCUROR ÎN CAUZELE PENALE, DIN CARE:	TOTAL CĂI DE ATAC ADMISE ÎN CAUZELE PENALE	TOTAL CĂI DE ATAC DECLARATE DE PROCUROR ÎN CAUZELE CIVILE, DIN CARE:	TOTAL CĂI DE ATAC ADMISE ÎN CAUZELE CIVILE
 BICAZ	4	2	4,653	2,177	3,534	1,112	90	1	213	808	588	321	180	23	625	128	1	36	479	116	1	0	784,060	19,500	0	362	1	10	0	1	0	0	0	1	138	132	33	22	10	0	0
 ORADEA	19	18	33,527	23,030	20,231	10,290	503	24	1,248	8,515	3,391	1,576	2,288	3,035	4,314	7,674	2	32	1,789	618	24	53	5,889,180	502,445	0	1,147	0	11	0	11	1	0	0	10	425	405	2	86	49	0	0
 BEIUS	4	4	4,574	2,432	3,186	1,266	108	1	195	962	793	262	72	139	546	476	0	6	422	120	1	12	175,831	1,000	0	301	1	2	0	0	0	0	0	0	117	108	7	15	8	0	0
 MARGHITA	4	2	4,629	3,201	3,223	1,843	62	0	471	1,310	1,068	303	409	63	484	733	2	9	306	78	0	5	23,126	11,080	0	228	0	1	0	0	0	0	0	0	59	36	2	9	6	0	0
 ALESD	3	3	3,441	1,706	2,681	1,028	90	11	397	530	728	200	83	17	441	182	0	12	513	106	13	1	1,437,519	10,737	0	394	0	4	0	2	0	0	0	2	83	68	12	2	2	0	0
 SALONTA	3	2	3,996	2,419	2,572	1,016	53	0	47	916	151	219	643	3	680	599	0	8	268	61	0	3	0	0	0	207	0	6	0	0	0	0	0	0	55	44	4	2	1	0	0
 SATU MARE	13	10	20,043	13,205	11,537	5,080	234	2	606	4,238	952	695	1,259	2,174	2,548	5,130	1	14	1,275	284	2	15	1,453,210	44,355	0	989	0	17	1	3	0	0	0	3	225	194	15	87	67	0	0
 CAREI	4	3	4,919	3,586	2,937	1,656	91	0	88	1,477	548	343	705	60	756	1,050	0	8	183	124	0	13	4,288	4,350	0	59	0	5	0	1	1	0	0	0	52	29	8	19	26	0	0
 NEGRESTI-OAS	3	2	3,131	2,034	2,119	1,066	92	0	293	681	486	217	304	59	458	375	0	12	384	127	0	11	2,113,744	5,000	0	257	0	0	0	0	0	0	0	0	77	63	6	7	6	0	0
 SUCEAVA	11	10	19,344	12,369	10,963	4,289	179	24	485	3,601	1,970	1,027	829	463	5,750	1,722	0	40	688	215	24	43	24,840,101	1,430	0	449	0	8	0	0	0	0	0	0	178	154	10	35	24	0	0
 CAMPULUNG MOLDOVENESC	4	4	6,986	3,064	5,351	1,454	27	2	256	1,169	891	233	171	159	1,077	339	1	18	278	29	2	1	532,761	0	0	247	0	2	0	0	0	0	0	0	108	94	10	4	2	0	0
 RADAUTI	7	6	14,070	9,917	8,643	4,559	226	8	975	3,350	2,180	1,196	1,009	174	3,910	734	2	37	1,650	289	8	36	3,048,485	60,225	135,485	1,353	0	5	0	2	0	0	0	2	337	335	61	32	14	0	0
 FALTICENI	5	4	5,806	3,740	3,572	1,625	124	20	191	1,290	655	557	269	144	1,779	172	1	12	584	150	22	6	90,171	1,000	4,912	412	0	1	0	0	0	0	0	0	174	100	5	21	17	0	0
 VATRA DORNEI	3	2	4,145	2,770	2,547	1,217	65	0	167	985	709	204	199	105	891	358	0	4	381	73	0	4	573,454	0	0	308	0	0	0	0	0	0	0	0	63	40	2	2	1	0	0
 GURA HUMORULUI	4	4	6,521	3,226	4,944	1,754	93	14	229	1,418	928	335	261	230	913	411	0	16	512	137	14	0	775,615	104,977	0	361	0	4	0	0	0	0	0	0	102	87	17	28	15	0	0
 BOTOSANI	12	11	29,483	15,199	21,169	7,424	502	1	1,652	5,269	3,760	1,561	925	1,178	4,174	2,470	0	32	1,776	675	1	54	1,847,256	35,200	35,877	1,100	1	13	0	7	2	0	1	5	408	312	43	54	21	0	0
 DOROHOI	3	2	7,346	3,240	5,648	1,726	155	3	526	1,042	1,041	365	183	137	725	558	0	19	532	207	4	6	818,006	0	97,895	321	0	6	0	0	0	0	0	0	109	50	5	18	13	0	0
