name	perf_2015						perf_2014																		
2015						2014																			
Curţi de apel						Curţi de apel																			
Instanţa	performanţă	operativitate Z	încărcătură Z	siguranţă Z		Instanţa	performanţă	operativitate Z	încărcătură Z	siguranţă Z															
Judecătoria LUDUŞ	0.32	1.99	-2.03	1.01		Judecătoria REŞITA	0.29	-0.05	0.37	0.55															
Judecătoria ZALĂU	0.32	0.58	0.50	-0.12		Judecătoria TÂRGU SECUIESC	0.29	0.99	0.03	-0.16															
Judecătoria MIERCUREA CIUC	0.30	-0.02	0.49	0.44		Judecătoria LUDUŞ	0.29	-0.28	-0.61	1.75															
Judecătoria CÂMPINA	0.30	-0.50	0.65	0.74		Judecătoria BEIUŞ	0.29	-0.53	0.87	0.53															
Judecătoria MIZIL	0.30	0.56	0.28	0.04		Judecătoria TĂRGU NEAMŢ	0.29	-0.24	1.17	-0.06															
Judecătoria BACĂU	0.28	-0.26	1.05	0.04		Judecătoria CÂMPINA	0.28	-0.75	0.92	0.66															
Judecătoria OLTENIŢA	0.27	-0.33	0.69	0.46		Judecătoria CARACAL	0.27	-0.52	0.80	0.54															
Judecătoria MACIN	0.26	1.83	-0.86	-0.19		Judecătoria AGNITA	0.25	2.21	-1.56	0.11															
Judecătoria MOINEŞTI	0.24	0.21	0.47	0.04		Judecătoria BOLINTIN VALE	0.25	0.34	0.61	-0.21															
Judecătoria SINAIA	0.23	1.17	-1.12	0.64		Judecătoria ORADEA	0.24	-0.13	1.02	-0.18															
Judecătoria TÂRGU BUJOR	0.23	1.24	-0.23	-0.34		Judecătoria CÂMPULUNG MOLDOVENESC	0.24	0.40	-0.42	0.72															
Judecătoria GHEORGHENI	0.22	2.14	-0.59	-0.90		Judecătoria FOCŞANI	0.23	0.72	0.94	-0.97															
Judecătoria SUCEAVA	0.22	-0.41	0.94	0.13		Judecătoria PĂTĂRLAGELE	0.23	0.92	-1.21	0.98															
Judecătoria CURTEA DE ARGEŞ	0.19	-0.94	0.69	0.84		Judecătoria BISTRIŢA	0.21	-0.70	0.66	0.67															
Judecătoria RĂDUCĂNENI	0.19	-0.62	0.48	0.71		Judecătoria TÂRGOVIŞTE	0.21	-0.79	1.07	0.34															
Judecătoria RÂMNICU SARAT	0.18	-0.32	0.62	0.23		Judecătoria ZALĂU	0.20	-0.02	0.48	0.15															
Judecătoria MOLDOVA-NOUĂ	0.17	1.83	-2.97	1.66		Judecătoria RÂMNICU SARAT	0.19	0.14	0.57	-0.15															
Judecătoria SLOBOZIA	0.17	0.61	0.30	-0.40		Judecătoria VATRA DORNEI	0.18	0.71	-1.02	0.85															
Judecătoria LUGOJ	0.16	-0.10	0.70	-0.12		Judecătoria COSTEŞTI	0.17	-0.38	-0.04	0.92															
Judecătoria MARGHITA	0.16	-0.17	-0.26	0.89		Judecătoria SIGHIŞOARA	0.16	-0.63	0.45	0.67															
Judecătoria PAŞCANI	0.15	-0.12	0.90	-0.34		Judecătoria ZIMNICEA	0.16	1.79	-1.46	0.16															
Judecătoria DETA	0.15	-0.50	0.12	0.82		Judecătoria CURTEA DE ARGEŞ	0.15	-0.55	0.68	0.33															
Judecătoria BOTOŞANI	0.15	0.89	0.63	-1.08		Judecătoria MIERCUREA CIUC	0.15	-0.46	0.46	0.46															
Judecătoria TURDA	0.13	-0.93	0.76	0.58		Judecătoria GHERLA	0.15	-0.81	0.46	0.80															
Judecătoria REŞITA	0.13	-0.10	0.41	0.08		Judecătoria DETA	0.15	-0.35	-0.26	1.05															
Judecătoria AVRIG	0.12	-0.26	0.02	0.61		Judecătoria ROŞIORI DE VEDE	0.14	-0.46	0.50	0.39															
Judecătoria CÂMPENI	0.12	0.79	-0.27	-0.16		Judecătoria TULCEA	0.14	-0.71	0.55	0.57															
Judecătoria CORABIA	0.11	0.89	0.30	-0.85		Judecătoria SUCEAVA	0.13	-1.02	1.01	0.38															
Judecătoria BAIA MARE	0.10	-0.60	1.03	-0.13		Judecătoria STREHAIA	0.09	0.14	-0.35	0.47															
Judecătoria FOCŞANI	0.09	0.50	0.92	-1.17		Judecătoria CAREI	0.08	-0.04	0.13	0.16															
Judecătoria FĂLTICENI	0.08	-0.34	0.61	-0.02		Judecătoria CHIŞINEU CRIŞ	0.08	-0.21	-0.98	1.44															
Judecătoria MEDGIDIA	0.08	-0.61	0.10	0.75		Judecătoria DEJ	0.07	-0.39	0.23	0.38															
Judecătoria TÂRGU-CĂRBUNEŞTI	0.07	-0.06	0.53	-0.25		Judecătoria ÎNSURĂŢEI	0.07	1.62	-1.82	0.42															
Judecătoria STREHAIA	0.07	0.54	-0.18	-0.15		Judecătoria BAIA MARE	0.06	-0.96	1.03	0.10															
