nume	cod	populatie	judecatori	stoc	dosare_solutionate		incarcatura	incarcatura_judecator	indice_atacabilitate	indice_casare		durata	performanta	operativitate	incarcatura	siguranta									
Denumirea instantei in clar (cu diactritice)	Codul informatic al instantei (din portal)	Populația	Numar de judecatori	Stoc (total volum de activitate al instantei)	Dosare solutionate	Operativitate (procent solutionate din stoc)	Incarcatura pe schema	Incarcatura pe judecator	Indice de atacabilitate (procent atacate din solutionate)	Indice de casare/desfiintare	Indicator de "siguranta" (100%-Desfiintare*Atacare) [ne mai gandim la denumire - certitudine/ stabilitate/ predictibilitate]	Durata in zile (extras din portal, ca diferenta dintre data inregistrarii dosarului si data solutionarii)	Performanta pentru gogoasa	Operativitatea relativa	Incarcatura relativa	Siguranta relativa									
Judecătoria SECTORUL 3 BUCUREŞTI	JudecatoriaSECTORUL3BUCURESTI	385439	42	112848	89511	79%	2170.154	2686.857	9%	10%	99.10%	43	66.92%	98.21%	92.89%	87.33%									
Judecătoria SECTORUL 4 BUCUREŞTI	JudecatoriaSECTORUL4BUCURESTI	287828	31	55689	42116	76%	1546.917	1796.419	9%	10%	99.10%	39	65.02%	87.83%	93.58%	88.41%									
Judecătoria SECTORUL 5 BUCUREŞTI	JudecatoriaSECTORUL5BUCURESTI	271575	26	47852	37998	79%	1329.222	1840.462	9%	10%	99.10%	31	80.75%	109.95%	93.03%	90.60%									
Judecătoria SECTORUL 6 BUCUREŞTI	JudecatoriaSECTORUL6BUCURESTI	367760	31	32080	25998	81%	1002.5	1034.839	9%	10%	99.10%	36	67.82%	83.66%	97.10%	89.20%									
Judecătoria SEGARCEA	JudecatoriaSEGARCEA	44210	3	3968	2408	61%	992	1322.667	9%	10%	99.10%	112	-6.07%	80.91%	70.08%	68.61%									
Judecătoria SFÂNTU GHEORGHE	JudecatoriaSFANTUGHEORGHE	113954	10	8273	6481	78%	827.3	827.3	9%	10%	99.10%	55	49.45%	78.34%	92.74%	84.21%									
Judecătoria SIBIU	JudecatoriaSIBIU	208616	22	28388	22473	79%	1135.52	1290.364	9%	10%	99.10%	45	62.18%	89.96%	93.56%	86.82%									
Judecătoria SIGHETU MARMAŢIEI	JudecatoriaSIGHETUMARMATIEI	81977	6	6002	4311	72%	1000.333	1000.333	9%	10%	99.10%	54	44.42%	71.83%	89.54%	84.55%									
Judecătoria SIGHIŞOARA	JudecatoriaSIGHISOARA	85236	6	5240	4237	81%	873.3333	873.3333	9%	10%	99.10%	58	46.35%	80.86%	89.75%	83.45%									
Judecătoria ŞIMLEUL SILVANIEI	JudecatoriaSIMLEULSILVANIEI	74363	3	2886	1957	68%	721.5	962	9%	10%	99.10%	75	37.58%	90.41%	87.06%	78.83%									
Judecătoria SINAIA	JudecatoriaSINAIA	38031	4	3856	3263	85%	771.2	964	9%	10%	99.10%	43	55.72%	105.78%	74.65%	87.42%									
Judecătoria SLATINA	JudecatoriaSLATINA	202647	18	19752	14339	73%	897.8182	1097.333	9%	10%	99.10%	47	61.15%	88.73%	94.59%	86.30%									
Judecătoria SLOBOZIA	JudecatoriaSLOBOZIA	108160	9	10716	7726	72%	893	1190.667	9%	10%	99.10%	56	54.24%	96.13%	88.99%	83.87%									
Judecătoria STREHAIA	JudecatoriaSTREHAIA	39516	5	3660	2897	79%	610	732	9%	10%	99.10%	53	51.77%	94.98%	84.12%	84.75%									
Judecătoria SUCEAVA	JudecatoriaSUCEAVA	212402	20	19744	14830	75%	940.1905	987.2	9%	10%	99.10%	49	55.46%	78.87%	95.35%	85.68%									
Judecătoria TÂRGOVIŞTE	JudecatoriaTARGOVISTE	224294	19	27276	15162	56%	1239.818	1435.579	9%	10%	99.10%	45	50.09%	64.36%	93.60%	87.00%									
Judecătoria TÂRGU BUJOR	JudecatoriaTARGUBUJOR	58454	3	2864	2298	80%	716	954.6667	9%	10%	99.10%	55	55.63%	106.98%	83.67%	84.07%									
Judecătoria TÂRGU JIU	JudecatoriaTARGUJIU	73407	34	24139	19524	81%	670.5278	709.9706	9%	10%	99.10%	55	50.96%	85.64%	90.33%	84.18%									
Judecătoria TÂRGU LAPUŞ	JudecatoriaTARGULAPUS	190812	2	1058	748	71%	352.6667	529	9%	10%	99.10%	44	73.72%	106.05%	97.23%	87.06%									
Judecătoria TÂRGU MUREŞ	JudecatoriaTARGUMURES	40418	27	25213	17820	71%	869.4138	933.8148	9%	10%	99.10%	52	37.00%	75.91%	76.90%	84.98%									
Judecătoria TĂRGU NEAMŢ	JudecatoriaTARGUNEAMT	265563	7	5385	3606	67%	673.125	769.2857	9%	10%	99.10%	45	58.86%	76.53%	97.10%	86.96%									
Judecătoria TÂRGU SECUIESC	JudecatoriaTARGUSECUIESC	89261	4	3381	2354	70%	845.25	845.25	9%	10%	99.10%	60	40.20%	69.62%	90.53%	82.92%									
Judecătoria TÂRGU-CĂRBUNEŞTI	JudecatoriaTARGUCARBUNESTI	77237	8	5998	4522	75%	666.4444	749.75	9%	10%	99.10%	54	51.83%	84.82%	91.26%	84.38%									
Judecătoria TÂRNAVENI	JudecatoriaTARNAVENI	47960	4	3416	2669	78%	854	854	9%	10%	99.10%	48	45.00%	78.13%	82.19%	86.02%									
Judecătoria TECUCI	JudecatoriaTECUCI	118842	8	6418	4943	77%	713.1111	802.25	9%	10%	99.10%	43	61.63%	86.64%	93.25%	87.37%									
Judecătoria TIMIŞOARA	JudecatoriaTIMISOARA	460432	52	51894	40264	78%	979.1321	997.9615	9%	10%	99.10%	40	63.75%	79.08%	97.83%	88.20%									
Judecătoria TOPLIŢA	JudecatoriaTOPLITA	32085	2	3226	2436	76%	1075.333	1613	9%	10%	99.10%	55	30.60%	113.27%	49.73%	84.09%									
Judecătoria TOPOLOVENI	JudecatoriaTOPOLOVENI	48992	4	3857	2784	72%	964.25	964.25	9%	10%	99.10%	51	38.69%	72.18%	80.32%	85.27%									
Judecătoria TULCEA	JudecatoriaTULCEA	125350	10	14316	10641	74%	1022.571	1431.6	9%	10%	99.10%	56	58.14%	104.06%	88.58%	84.02%									
Judecătoria TURDA	JudecatoriaTURDA	120405	14	10146	7105	70%	724.7143	724.7143	9%	10%	99.10%	44	53.36%	70.03%	93.52%	87.23%									
Judecătoria TURNU MĂGURELE	JudecatoriaTURNUMAGURELE	63585	7	3815	3141	82%	476.875	545	9%	10%	99.10%	47	61.26%	94.09%	91.43%	86.33%									
Judecătoria URZICENI	JudecatoriaURZICENI	90434	7	5795	4573	79%	724.375	827.8571	9%	10%	99.10%	42	62.29%	90.19%	90.85%	87.74%									
Judecătoria VĂLENII DE MUNTE	JudecatoriaVALENIIDEMUNTE	104363	7	6765	4851	72%	966.4286	966.4286	9%	10%	99.10%	50	47.77%	71.71%	90.74%	85.54%									
Judecătoria VÂNJU MARE	JudecatoriaVANJUMARE	55806	5	5625	4083	73%	937.5	1125	9%	10%	99.10%	83	24.13%	87.10%	79.84%	76.44%									
Judecătoria VASLUI	JudecatoriaVASLUI	166491	16	12198	9746	80%	677.6667	762.375	9%	10%	99.10%	50	60.66%	89.89%	95.42%	85.57%									
Judecătoria VATRA DORNEI	JudecatoriaVATRADORNEI	42496	4	3262	2401	74%	815.5	815.5	9%	10%	99.10%	49	44.44%	73.61%	84.65%	85.86%									
Judecătoria VIDELE	JudecatoriaVIDELE	62470	3	6781	4468	66%	1695.25	2260.333	9%	10%	99.10%	62	15.22%	87.85%	51.76%	82.20%									
Judecătoria VIŞEU DE SUS	JudecatoriaVISEUDESUS	86422	4	3604	2757	76%	901	901	9%	10%	99.10%	53	48.65%	76.50%	91.66%	84.62%									
Judecătoria ZALĂU	JudecatoriaZALAU	101645	10	9150	7292	80%	762.5	915	9%	10%	99.10%	53	58.02%	95.63%	91.00%	84.84%									
Judecătoria ZĂRNEŞTI	JudecatoriaZARNESTI	55293	7	4189	2806	67%	698.1667	598.4286	9%	10%	99.10%	53	39.05%	57.42%	90.72%	84.84%									
Judecătoria ZIMNICEA	JudecatoriaZIMNICEA	48768	5	5674	4350	77%	945.6667	1134.8	9%	10%	99.10%	67	34.59%	92.00%	76.73%	80.81%									
