Denumirea instantei in clar (cu diactritice),Codul informatic al instantei (din portal),Populația,Numar de judecatori,Stoc (total volum de activitate al instantei),Dosare solutionate,Operativitate (procent solutionate din stoc),Incarcatura pe schema,Incarcatura pe judecator,Indice de atacabilitate (procent atacate din solutionate),Indice de casare/desfiintare,"Indicator de ""siguranta"" (100%-Desfiintare*Atacare)",Durata in zile,Performanta pentru gogoasa,Operativitatea relativa,Incarcatura relativa,Siguranta relativa
Judecătoria CÂMPENI,JudecatoriaCAMPENI,49391,4,2586,2002,77%,517.2,646.5,13%,8%,98.96%,70,57.83%,96.77%,86.91%,79.89%
Judecătoria CÂMPINA,JudecatoriaCAMPINA,149552,13,9033,7038,78%,694.85,694.85,13%,8%,98.96%,70,56.92%,77.91%,95.35%,79.99%
Judecătoria CĂMPULUNG,JudecatoriaCAMPULUNG,126396,12,5558,4514,81%,463.17,555.8,13%,8%,98.96%,73,66.68%,97.46%,95.60%,79.12%
Judecătoria CÂMPULUNG MOLDOVENESC,JudecatoriaCAMPULUNGMOLDOVENESC,48664,5,3629,2893,80%,604.83,725.8,13%,8%,98.96%,68,55.91%,95.66%,85.09%,80.41%
Judecătoria CARACAL,JudecatoriaCARACAL,112148,13,8180,6659,81%,629.23,629.23,13%,8%,98.96%,73,56.75%,81.41%,94.39%,79.19%
Judecătoria CARANSEBEŞ,JudecatoriaCARANSEBES,102518,8,7347,6142,84%,918.38,1049.57,13%,8%,98.96%,62,63.23%,95.54%,89.76%,82.23%
Judecătoria CAREI,JudecatoriaCAREI,85249,5,4559,3373,74%,759.83,911.8,13%,8%,98.96%,82,52.11%,88.78%,89.30%,76.73%
Judecătoria CHIŞINEU CRIŞ,JudecatoriaCHISINEUCRIS,49144,2,1890,1628,86%,945,945,13%,8%,98.96%,51,51.99%,86.14%,80.77%,85.10%
Judecătoria CLUJ-NAPOCA,JudecatoriaCLUJNAPOCA,402777,43,38580,29068,75%,857.33,918.57,13%,8%,98.96%,67,62.01%,80.73%,97.72%,80.77%
Judecătoria CONSTANŢA,JudecatoriaCONSTANTA,434815,57,50245,37571,75%,866.29,1141.93,13%,8%,98.96%,84,65.39%,98.57%,97.37%,76.10%
Judecătoria CORABIA,JudecatoriaCORABIA,74445,5,3196,2273,71%,639.2,799,13%,8%,98.96%,98,46.59%,88.90%,89.27%,72.35%
Judecătoria CORNETU,JudecatoriaCORNETU,182688,16,18040,13269,74%,1127.5,1503.33,13%,8%,98.96%,121,46.59%,98.07%,91.77%,66.29%
Judecătoria COSTEŞTI,JudecatoriaCOSTESTI,66960,5,4818,4027,84%,803,803,13%,8%,98.96%,64,54.18%,83.58%,88.01%,81.71%
Judecătoria CRAIOVA,JudecatoriaCRAIOVA,447051,54,58349,45681,78%,1080.54,1100.92,13%,8%,98.96%,65,61.87%,79.77%,97.54%,81.23%
Judecătoria CURTEA DE ARGEŞ,JudecatoriaCURTEADEARGES,92520,8,4793,3880,81%,599.13,599.13,13%,8%,98.96%,78,53.84%,80.95%,93.52%,77.82%
Judecătoria DARABANI,JudecatoriaDarabani,42521,4,3586,2810,78%,896.5,896.5,13%,8%,98.96%,135,17.02%,78.36%,78.92%,62.40%
Judecătoria DEJ,JudecatoriaDEJ,59430,6,3548,2960,83%,591.33,591.33,13%,8%,98.96%,77,51.84%,83.43%,90.05%,78.17%
Judecătoria DETA,JudecatoriaDETA,49467,4,2715,2283,84%,678.75,678.75,13%,8%,98.96%,60,53.70%,84.09%,86.28%,82.59%
Judecătoria DEVA,JudecatoriaDEVA,109135,17,15120,12309,81%,795.79,945,13%,8%,98.96%,66,64.10%,96.67%,91.34%,81.07%
Judecătoria DOROHOI,JudecatoriaDOROHOI,72085,5,5569,4639,83%,928.17,928.17,13%,8%,98.96%,89,44.53%,83.30%,87.12%,74.96%
Judecătoria DRĂGĂŞANI,JudecatoriaDRAGASANI,60782,10,5649,4161,74%,513.55,564.9,13%,8%,98.96%,104,42.03%,81.02%,90.71%,70.89%
Judecătoria DRAGOMIREŞTI,JudecatoriaDRAGOMIRESTI,31874,2,1800,1592,88%,600,900,13%,8%,98.96%,37,72.29%,132.67%,71.76%,88.95%
Judecătoria DROBETA-TURNU SEVERIN,JudecatoriaDROBETATURNUSEVERIN,136655,21,21616,17968,83%,800.59,864.64,13%,8%,98.96%,61,64.73%,89.77%,93.67%,82.52%
Judecătoria FĂGĂRAŞ,JudecatoriaFAGARAS,72406,9,7666,5682,74%,851.78,851.78,13%,8%,98.96%,78,44.30%,74.12%,88.24%,77.76%
Judecătoria FĂGET,JudecatoriaFAGET,25620,5,1323,1080,82%,264.6,264.6,13%,8%,98.96%,89,46.11%,81.63%,89.67%,74.74%
Judecătoria FĂLTICENI,JudecatoriaFALTICENI,111917,8,5797,4683,81%,724.63,828.14,13%,8%,98.96%,70,61.58%,92.32%,92.60%,79.87%
Judecătoria FĂUREI,JudecatoriaFAUREI,50965,2,2426,2049,84%,808.67,1213,13%,8%,98.96%,83,58.01%,126.69%,76.20%,76.42%
Judecătoria FETEŞTI,JudecatoriaFETESTI,75554,6,8655,6752,78%,1081.88,1442.5,13%,8%,98.96%,125,36.53%,104.02%,80.91%,65.13%
Judecătoria FILIAŞI,JudecatoriaFILIASI,38648,3,2537,2068,82%,845.67,845.67,13%,8%,98.96%,87,34.38%,81.51%,78.12%,75.45%
Judecătoria FOCŞANI,JudecatoriaFOCSANI,251215,24,21466,15194,71%,795.04,1129.79,13%,8%,98.96%,110,55.76%,100.58%,95.50%,69.25%
Judecătoria GĂEŞTI,JudecatoriaGAESTI,93118,8,6876,5442,79%,859.5,859.5,13%,8%,98.96%,107,39.88%,79.14%,90.77%,69.95%
Judecătoria GALAŢI,JudecatoriaGALATI,304837,32,38303,25060,65%,1063.97,1473.19,13%,8%,98.96%,114,48.44%,90.59%,95.17%,68.03%
Judecătoria GHEORGHENI,JudecatoriaGHEORGHENI,50356,2,2755,2172,79%,551,688.75,13%,8%,98.96%,72,57.69%,98.55%,86.32%,79.52%
Judecătoria GHERLA,JudecatoriaGHERLA,62677,10,5114,3940,77%,511.4,511.4,13%,8%,98.96%,67,53.80%,77.04%,91.84%,80.91%
Judecătoria GIURGIU,JudecatoriaGIURGIU,175927,20,25098,20611,82%,1254.9,1568.63,13%,8%,98.96%,79,62.61%,102.65%,91.08%,77.56%
Judecătoria GURA HONŢ,JudecatoriaGURAHONT,34139,2,1443,1281,89%,481,721.5,13%,8%,98.96%,59,72.69%,133.16%,78.87%,82.96%
Judecătoria GURA HUMORULUI,JudecatoriaGURAHUMORULUI,54338,6,3308,2661,80%,551.33,551.33,13%,8%,98.96%,84,47.42%,80.44%,89.85%,76.13%
Judecătoria HÂRLĂU,JudecatoriaHARLAU,78036,5,3020,2153,71%,604,604,13%,8%,98.96%,110,36.14%,71.29%,92.26%,69.07%
Judecătoria HÂRŞOVA,JudecatoriaHARSOVA,25817,2,1225,986,80%,612.5,612.5,13%,8%,98.96%,84,32.82%,80.49%,76.28%,76.24%
Judecătoria HAŢEG,JudecatoriaHATEG,33417,3,1783,1186,67%,594.33,594.33,13%,8%,98.96%,128,16.50%,66.52%,82.21%,64.23%
Judecătoria HOREZU,JudecatoriaHOREZU,70049,6,3889,2441,63%,555.57,777.8,13%,8%,98.96%,125,36.40%,87.87%,88.90%,65.07%
Judecătoria HUEDIN,JudecatoriaHUEDIN,45817,4,1769,1339,76%,442.25,442.25,13%,8%,98.96%,91,43.22%,75.69%,90.35%,74.42%
Judecătoria HUNEDOARA,JudecatoriaHUNEDOARA,82206,8,6700,5646,84%,744.44,837.5,13%,8%,98.96%,54,65.66%,94.80%,89.81%,84.42%
Judecătoria HUŞI,JudecatoriaHUSI,75220,6,2861,2309,81%,476.83,572.2,13%,8%,98.96%,74,62.43%,96.85%,92.39%,78.78%
Judecătoria IAŞI,JudecatoriaIASI,500387,55,50303,43244,86%,914.6,1117.84,13%,8%,98.96%,70,74.20%,105.07%,97.77%,79.94%
Judecătoria INEU,JudecatoriaINEU,49701,5,3672,3393,92%,734.4,734.4,13%,8%,98.96%,37,64.98%,92.40%,85.22%,88.85%
Judecătoria ÎNSURĂŢEI,JudecatoriaINSURATEI,39779,1,2043,1557,76%,681,1021.5,13%,8%,98.96%,76,51.81%,114.32%,74.32%,78.44%
Judecătoria ÎNTORSURA BUZĂULUI,JudecatoriaINTORSURABUZAULUI,18986,3,939,702,75%,313,313,13%,8%,98.96%,97,33.19%,74.76%,83.51%,72.77%
Judecătoria JIBOU,JudecatoriaJIBOU,48376,3,1706,1425,84%,426.5,426.5,13%,8%,98.96%,86,50.05%,83.53%,91.18%,75.74%
Judecătoria LEHLIU-GARA,JudecatoriaLEHLIUGARA,48979,5,2181,1718,79%,436.2,545.25,13%,8%,98.96%,66,62.41%,98.46%,88.87%,81.09%
